Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 0.00; Heading (deg): 0.00; Altitude: 1.69; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -0.02; Speed (kph): 5.15; Heading (deg): 204.75; Altitude: 1.69; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 5.15; Heading (deg): 204.75; Altitude: 1.69; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.22; Heading (deg): 2.00; Altitude: 1.69; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.22; Heading (deg): 2.00; Altitude: 1.69; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.96; Heading (deg): 220.00; Altitude: 1.69; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.80; Heading (deg): 225.30; Altitude: 1.69; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.80; Heading (deg): 225.30; Altitude: 0.00; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.72; Heading (deg): 234.60; Altitude: 0.00; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.72; Heading (deg): 234.60; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.89; Heading (deg): 242.67; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.89; Heading (deg): 242.67; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.09; Heading (deg): 243.93; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.09; Heading (deg): 243.93; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.07; Heading (deg): 243.34; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.07; Heading (deg): 243.34; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.32; Heading (deg): 2.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.32; Heading (deg): 2.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.63; Heading (deg): 231.91; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.63; Heading (deg): 231.91; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -0.17; Speed (kph): 4.61; Heading (deg): 231.06; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -10.83; Speed (kph): 4.61; Heading (deg): 231.06; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -1.08; Speed (kph): 4.39; Heading (deg): 227.90; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.39; Heading (deg): 227.90; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.35; Heading (deg): 227.89; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.35; Heading (deg): 227.89; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.26; Heading (deg): 226.84; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.26; Heading (deg): 226.84; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 4.11; Heading (deg): 2.00; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -0.17; Speed (kph): 3.87; Heading (deg): 225.97; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.87; Heading (deg): 225.97; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.63; Heading (deg): 222.85; Altitude: 1.70; 19cm, Reverse!
Passed Checksum:0; ; Position: 39.92, -105.15; Speed (kph): 3.63; Heading (deg): 222.85; Altitude: 1.70; 19cm, Reverse!
